case,transition_mode,mixer_method,method,theta,theta_over_pi,beta,beta_over_pi,r,P_valid,P_uniform,delta_theta_pi_vs_exp,delta_beta_pi_vs_exp,delta_r_vs_exp,delta_P_vs_exp,W,valid_windows
06_2d_tiny_corner_block,cost_phase,rx_all,M4 (grad),0.9677432965998279,0.30804225859581763,0.5235987755982989,0.16666666666666669,31,0.36362709552445266,0.25,-0.40029107473751563,-0.10416666666666662,0,-0.5747599073741922,4,1
06_2d_tiny_corner_block,cost_phase,rx_all,M5 (hybrid),0.6217735460229799,0.19791666666666666,0.2617993877991494,0.08333333333333333,37,0.9656975409338664,0.25,-0.5104166666666666,-0.1875,6,0.027310538035221543,4,1
06_2d_tiny_corner_block,cost_phase,rx_all,Experimental,2.22529479629277,0.7083333333333333,0.8508480103472356,0.2708333333333333,31,0.9383870028986449,0.25,0.0,0.0,0,0.0,4,1
07_2d_small_diagonal_block,cost_phase,local_geometric,M1 (sweep),0.2617993877991494,0.08333333333333333,0.1308996938995747,0.041666666666666664,27,0.7678319786911142,0.1111111111111111,0.05,0.025,-30,0.05355409113185983,9,1
07_2d_small_diagonal_block,cost_phase,local_geometric,M2 (eigen),1.5707963267948966,0.5,0.24,0.07639437268410976,57,0.26932248604132153,0.1111111111111111,0.4666666666666667,0.0597277060174431,0,-0.44495540151793284,9,1
07_2d_small_diagonal_block,cost_phase,local_geometric,M3 (theory),1.5707963267948966,0.5,1.1071487177940906,0.3524163823495668,1,0.26684010981525713,0.1111111111111111,0.4666666666666667,0.3357497156829001,-56,-0.44743777774399723,9,1
07_2d_small_diagonal_block,cost_phase,local_geometric,M4 (grad),1.2548305049092443,0.3994249551976102,0.8687957008010496,0.27654626063894877,57,0.1222203456598346,0.1111111111111111,0.36609162186427685,0.2598795939722821,0,-0.5920575418994197,9,1
07_2d_small_diagonal_block,cost_phase,local_geometric,M5 (hybrid),0.1308996938995747,0.041666666666666664,0.06544984694978735,0.020833333333333332,54,0.7770157867079567,0.1111111111111111,0.008333333333333331,0.004166666666666666,-3,0.06273789914870231,9,1
07_2d_small_diagonal_block,cost_phase,local_geometric,Experimental,0.10471975511965977,0.03333333333333333,0.05235987755982988,0.016666666666666666,57,0.7142778875592544,0.1111111111111111,0.0,0.0,0,0.0,9,1
07_2d_small_diagonal_block,cost_phase,linear_valid,M1 (sweep),2.356194490192345,0.75,1.2435470920459597,0.3958333333333333,18,0.562389025317835,0.1111111111111111,0.5833333333333334,0.2708333333333333,-6,0.10539849023728237,9,1
07_2d_small_diagonal_block,cost_phase,linear_valid,M2 (eigen),1.5707963267948966,0.5,0.24,0.07639437268410976,24,0.2374186824028426,0.1111111111111111,0.33333333333333337,-0.048605627315890236,0,-0.21957185267770998,9,1
